Mass,Distance,Radius,Cluster
69.0,2045100933402150.0,0.00099277152,3
44.0,2050021000330501.0,0.061093632,3
64.0,2050124060010452.0,0.020046348,3
73.0,2051609450445499.0,0.044865636,3
40.0,205231403.0,0.064911984,1
41.62,53951990059020.0,0.058229868,1
34.6,6023910.0,0.026728464,1
102.0,2060852832753583.0,0.036274344,0
39.0,2062445954521548.0,0.053456928,3
65.0,2064118404322329.0,0.063957396,3
51.0,652197253450.0,0.0715941,1
60.0,2070753274900503.0,0.068730336,3
13.4,72227510540312.0,0.024819288,1
29.6,20727182171001.0,0.039138108,1
25.8,2072900023954043.0,0.035319756,3
49.0,74201412055205.0,0.041047284,1
55.0,751164253043.0,0.067775748,1
60.0,2075223901612157.0,0.00191872188,3
16.1,817300615520.0,0.042001872,1
35.0,2082519682115521.0,0.049638576,3
43.0,83008124828474.0,0.045820224,1
55.0,2021.0,0.084003744,1
77.0,83048800128311.0,0.043911048,1
23.53,20835425081923.0,0.059184456,1
43.0,20847287153237.0,0.061093632,1
27.6,2085336190329321.0,0.073503276,3
50.0,20859254194926.0,0.0477294,1
20.0,20937347293142.0,0.040092696,1
17.4,209392448.0,0.030546816,1
59.0,2094908601545485.0,0.046774812,3
46.0,2100733694555147.0,0.042001872,3
55.0,21010148040649.0,0.048683988,1
60.0,2102248215825453.0,0.025773876,3
53.0,21036530344138.0,0.046774812,1
34.4,21047538212423.0,0.040092696,1
13.15,10483956.0,0.073503276,1
6.516,16.0,0.041047284,1
6.516,16.0,0.03818352,1
49.0,105871548.0,0.061093632,1
180.0,28.0,0.034365168,2
163.0,110913773444.0,0.007636704,2
63.0,111010010116131.0,0.008591292,1
18.2,2111451332618235.0,0.031501404,3
137.0,26.0,0.02863764,2
129.0,2115442233400390.0,0.035319756,0
31.0,21155395372735.0,0.061093632,1
217.0,2120748363900043.0,0.016227996,0
36.0,21217110031113.0,0.040092696,1
45.6,212376526.0,0.039138108,1
262.0,29.0,0.001909176,2
38.0,125453900122474.0,0.044865636,1
61.0,1.0,0.060139044,1
61.0,1.0,0.055366104,1
101.0,2132044270409045.0,0.063957396,0
65.0,132629820038315.0,0.048683988,1
48.0,134646450031504.0,0.042001872,1
51.0,2135955104034582.0,0.060139044,3
29.7,141623941348363.0,0.030546816,1
149.0,141659785006264.0,0.056320692,2
38.0,142527973650234.0,0.020046348,1
38.5,2924.0,0.072548688,1
47.0,2143928371929150.0,0.068730336,3
72.0,14401339.0,0.087822096,1
47.0,2144825631031590.0,0.056320692,3
104.0,145810.0,0.0105959268,1
104.0,145810.0,0.008591292,1
35.1,51346546.0,0.0715941,1
20.7,215032525.0,0.042001872,1
71.0,150411102717.0,0.042001872,1
46.0,21506544132106.0,0.065866572,1
23.9,215071627.0,0.05727528,1
53.0,868110639.0,0.075412452,1
34.0,21515008484742.0,0.054411516,1
67.0,21526140204341.0,0.051547752,1
51.0,153941960520424.0,0.060139044,1
37.0,2154627183325111.0,0.042001872,3
68.0,21552591294849.0,0.02863764,1
44.0,21555157095605.0,0.067775748,1
48.0,2161504131340079.0,0.040092696,3
36.0,162414370029156.0,0.041047284,1
110.0,2162620343925190.0,0.067775748,0
50.0,21632291190441.0,0.046774812,1
28.0,164715595632082.0,0.039138108,1
60.0,16587027.0,0.069684924,1
114.0,21726000153819.0,0.022910112,1
90.0,175032961759039.0,0.044865636,1
39.0,2182835724849046.0,0.04295646,3
18.5,18353259.0,0.073503276,1
138.0,21841086311727.0,0.063957396,2
46.0,2184322134040209.0,0.091640448,3
105.0,2200048417523070.0,0.0238647,0
65.0,204749610718183.0,0.043911048,1
47.0,22057540025230.0,0.06682116,1
62.0,22104149103736.0,0.065866572,1
80.0,318522.0,0.006204822,1
113.0,21244228.0,0.089731272,1
32.1,2213926760220226.0,0.043911048,3
26.3,2214816284003593.0,0.05250234,3
93.0,22206450421721.0,0.021000936,1
154.0,22208136292121.0,0.025773876,2
38.0,22224438015852.0,0.058229868,1
35.0,2222828894310262.0,0.040092696,3
64.0,2223732553922398.0,0.069684924,3
56.0,22244316204343.0,0.011455056,1
56.0,2232246843133231.0,0.022910112,3
148.0,2232252996151275.0,0.016227996,0
67.0,2235150442537367.0,0.084003744,3
74.0,22356547155310.0,0.07636704,1
20.0,4101502.0,0.005727528,1
35.9,4586434.0,0.01431882,1
35.9,4586434.0,0.00954588,1
25.3,14055534.0,0.02863764,1
